id,landmarks
36e637961b1fe617,9305 0.18
1580fe47f6ee65e6,4463 0.54
81d8ae510c894f9c,7282 0.15
d1708fa89200918a,3569 0.12
214afeec36b28c59,9461 0.39
c06ffdc8888641bd,4150 0.26
7108bf64acf3a622,11496 0.16
aa06492549a4ff07,3729 0.04
3a697aa9ebba5a2d,6288 0.14
7f7b1248e062fd6c,2370 0.22
0cc1c84f6cfc1c97,13207 0.23
3935eaafd5a0f296,8460 0.22
2b132f654930a99e,4954 0.15
20cbebbe50d37658,529 0.76
e86a320efe9fed6b,2326 0.53
4152a3c8a9ae194b,14661 0.49
d3b2281541c13c50,6440 0.14
57f84a2bd84cf026,4950 0.58
f81a943d55e8eceb,8678 0.37
7e00454035020e88,2345 0.15
0222d8583811a0af,10987 0.79
71b48398fa917e8a,10995 0.88
080e1fb9ac4c7d76,3392 0.29
b3518e5f2847b9da,13693 0.03
9efce45d06585702,6843 0.55
272442e556af2cfa,3860 0.96
6a34a48e363d11ab,8678 0.33
d368ecacb5aa3933,550 0.03
85deebf3b8a89114,838 0.26
a6e697c25bd9a2a7,6593 0.31
5b2f1900208ab1ad,6890 0.93
2676cf77d7558869,2326 0.20
904c5e978390679b,529 0.07
4e1d5b65b9b9f855,7280 0.21
43978807bbc40740,2755 0.49
d33a46486c88e553,8621 0.09
5b51b0c519757c51,2326 0.22
75f08c0acda5ba3a,603 0.23
b858425d4f4a4dc3,2326 0.54
07b2547c418a4634,14874 0.15
0b263b014883ada6,9382 0.17
f15b730a7f1b1741,9960 0.45
5067f5d125dbd833,13099 0.68
04686a55e6594111,14706 0.25
9969cf921202d0c0,10158 0.18
48e8ceb73b3f10cb,2935 0.17
688f45f07b62e2e2,14039 0.09
ca72b7cd966c805e,14284 0.20
b529e15ae7786b70,14018 0.68
0d5c963f35115574,14661 0.88
82b683fcb8c447ef,6133 0.13
05bbb7b90377f365,14591 0.08
f45c0c1bc36dcda0,4270 0.07
8d61eb0966da1820,2416 0.54
fab96c0e2c94c31b,4983 0.16
8bc574efc0313fda,11232 0.56
945ab6da5273045e,13801 0.31
4272afee804c5be7,11507 0.37
27f08dc8634fc569,10560 0.28
4eaa0c0a8cc95444,5144 0.29
39e292cc19128104,458 0.32
25e155156e76ffe4,47 0.25
fd9d903abe13387c,5947 0.99
b67826075e2926bc,8626 0.12
31c58b7f2f603e07,143 0.68
31b7fe317f46a746,886 0.34
0db90a63a6432ea4,7347 0.53
b7e271e8ac1225b9,10013 0.21
8d64e37507d6cc6c,5928 1.00
784b2a53f89c03c2,2577 0.04
04b6121003913541,3832 0.80
ff05cdf5b59bffd8,2465 0.07
0b690f0397c2003f,14040 0.61
f12a54eb44a44b33,398 0.11
992374c04c89dcee,1269 0.67
28e5596a2c959c0e,603 0.44
8c6efabc91c97380,9468 0.28
0465f1cace64c9c0,9564 0.60
33ad0052c9f8cff6,2935 0.22
03b795b07df2c442,7282 0.50
02a41349ff2122b6,2296 0.08
c8d08a294ea663fd,11281 0.22
8832472c84a23921,12178 0.28
47368f0a267229a4,11173 0.31
64b0b549d7737abc,7801 0.19
ffb7d51d1d01b6f1,11453 0.14
07250877a465741c,11609 0.20
2e064cc13fc5a115,8899 0.81
06644b7f0871d751,5560 0.41
d2a92a2004f04dc6,11522 0.15
0a619625b8c64c01,5446 0.17
a78a20a4e158aabb,10874 0.46
342663968b541d8a,9126 0.38
2bd2b571dc6ba271,14267 0.11
27e96be942db99d2,11408 0.07
c82ceec5247c0d5c,10764 0.18
97bbb08875bcd643,5792 0.29
b50036fd858f01e8,4886 0.26
c66d30c653f798cf,8502 0.53
9d36fda8ca779bfd,5134 1.00
af22943caa2f5f33,2163 0.38
7b0f9f5c57336d09,9909 0.18
047e5a3daa8beb3b,11268 0.72
fe80ddbb1f25b345,1816 0.04
a45b07d8ab735764,5415 0.37
c3b3c488f265242a,6576 0.14
37d48261e7d7fef5,5548 0.12
12c8b4af8613ee44,13951 0.14
fe7e4ee0f9861240,10566 0.32
1b372b9f9479c302,11173 0.14
5dc4d66bdc7cdb6d,12649 0.10
d8b412a9fcd62cd6,10566 0.32
82e9efa19b38150a,4028 0.17
c0f2421ac7649c31,8678 0.31
575d93feb4e578f8,14769 0.14
43f6a44f29291e6c,9382 0.17
aee661a597bb0488,1527 0.35
3d42a251dac65958,8785 0.69
15a8fba8eef993f6,10566 0.19
a111e1f3cf30f326,3526 0.26
ef5d993901f79db9,11609 0.48
4717049c871c9656,10084 0.81
a04194fd74e44fdc,14583 0.18
6ebfc6c7b825f6b8,7855 0.14
4cbcc038b14f167a,347 0.08
dd33ec9280f7fa71,13801 0.96
3e12d9bf39910ba9,6133 0.13
e0a535671d4c689b,6554 0.18
46d48b6ee9634e25,13080 0.18
a3c7c410553d2cb3,7282 0.81
e6b7f2f9e1d1efd8,6439 0.58
73b4d93c16ec37ca,8380 0.06
b91556b689a0e8a0,4090 0.21
f63f2b436d514fff,8868 0.20
fc2d72d098250657,8968 0.32
cd5068e3342dd632,4854 0.11
45a0c9b8bd89848b,3832 0.84
cfea5de58f094bc0,529 0.59
756de884c059325c,1548 0.31
8df31f3b4961308a,35 0.06
a3bc26c5b50ae4f2,7726 0.14
fa047f2803b25fc5,6264 0.21
e50f398f2f539460,10764 0.56
c094db228b88ef64,3114 0.20
030b5e0015c40244,14284 0.71
e61d5a30cf690dac,7031 0.24
e2239940a8ca1804,348 0.41
2ab932c3566787c7,5675 0.60
3d1753d3d5dc4ba7,2370 0.16
84c66e3457706797,5 0.26
8705c98772428e69,4365 0.13
2f31dc900e24eaf2,4723 0.14
7e4e34f839f01c2d,7988 0.07
170e633a96edee99,1345 0.40
515a3dc25c69881a,2458 0.56
82528caa87c382e7,4867 0.59
4402d0e686d61782,1332 0.16
978cd157241a6ea7,11232 0.09
afc44103895fea26,11206 0.17
89aff874bf611eb5,12055 0.10
fea3bba8cba3d09e,9779 0.07
7c3da2a7f08fbba6,11232 0.11
2c0c64a7b41af9e6,7643 0.15
9149adc5294785aa,5247 0.79
a2ad44f024e2b886,10993 0.73
64dbff647311f692,4135 0.06
d4b8e0d55abb14f6,5236 0.80
3e94d50b0c01ad46,4 0.11
8107ac70269a1655,4308 0.77
5a06b7d1f1a1671d,10648 0.43
d840b567a827e390,3860 0.95
baae3c6be53b827a,7534 0.50
166f2308bbe8e8d3,14511 0.21
551c40d05fae7285,8841 0.23
95a38170c6b61a4a,2262 0.33
b1393230a823c147,14396 0.26
a456f3375191589c,14324 0.42
48abaf8e41403e85,2326 0.46
9ffc7735415d0ecd,1111 0.35
74a6002b4b2cbfd1,4630 0.53
3505c5e71ac1906b,13231 0.07
a413a9aa0e7a6559,14661 0.65
dc4a1cb2a9d4543a,7536 0.67
4e8be2b1e45cf3ee,2074 0.17
d2adadcb483a7a48,599 0.20
e1b6f902d0604f2d,11603 0.70
7195a3696ddb017e,10566 0.12
a2285e79c2d527bc,9449 0.05
f4552c7443a4885a,6168 0.07
a08402c9dfb222a7,14159 0.29
23b851eafc46712d,6708 0.13
f962011de1724e6d,14284 0.23
d77697ea489c759c,14661 0.44
9a614c2537b3cc88,8968 0.39
1fefdec446e70261,4316 0.05
8a800c51ff92de33,7282 0.17
50d255c545ab0f1e,3729 0.08
6781436e1f2cb90e,8597 0.79
19129c4649bd57e3,12004 0.08
c3ff0e2f3659f2ba,6467 0.10
d126cea50c4be6fc,932 0.52
702323104df2b391,9382 0.17
49a57956f736549c,1318 0.44
a4d6558d4fc3b1d3,12303 0.19
f7ff2adcb4c21ee0,10797 0.19
8d4b677450111ea1,6362 0.67
2d80ecb0bd84fe98,7924 0.12
5a6dd73e495d2762,0 0.10
af1ddcdfb43b120d,2326 0.67
96b65e0ac178876f,11268 0.71
b5907d5f3d19058e,12015 0.30
6f484a25f927995e,11327 0.12
d455cb7e9078dea9,4481 0.48
80d8fcc44b0d198b,11570 0.14
bf2be1d0553b18e7,5960 0.11
178b548536f7a36c,2326 0.30
d252a21bb4a4980a,1977 0.04
52e955aedf598358,4630 0.11
22a7b7d10ed9d258,7855 0.46
5e6b27d7444a82e2,332 0.40
e8916e83d2ab3612,14706 0.54
80501bac13ec8724,2667 0.10
fbf650f4f0d34251,12354 0.44
283650168bb2efbf,1345 0.51
983098cbf0811cff,4481 0.76
e7fc87169e47e6fc,6956 0.65
fbcfa997beb25191,1447 0.57
4782db3d33775a62,11603 0.65
b2ba3a7759e0f982,11077 0.97
22c07d5420a1642b,7855 0.08
fcec041a1b7cebef,4660 0.81
3f21f6ed3bd12592,11609 0.3
